Rondônia,12763
Acre,7063
Amazonas,29044
Roraima,3688
Pará,61352
Amapá,3488
Tocantins,14717
Maranhão,31887
Piauí,20701
Ceará,75376
Rio Grande do Norte,30046
Paraíba,24556
Pernambuco,70500
Alagoas,20555
Sergipe,10008
Bahia,109999
Minas Gerais,290082
Espírito Santo,45541
Rio de Janeiro,123321
São Paulo,786628
Paraná,168597
Santa Catarina,176789
Rio Grande do Sul,132646
Mato Grosso do Sul,36784
Mato Grosso,71867
Goiás,107925
Distrito Federal,47472
