Date,BOVA11,ITUB4,BBDC4,BBAS3,BPAC11,SANB11,ABCB4,BPAN4,BRSR6,BIDI4,PINE4.SA
2019-02-22,0.009189998,-0.006485636,-0.008227988,0.009159862,0.018379936,-0.004538853,0.001081167,-0.035293983,0.012405195,0.008020263,0.025925926
2019-02-25,-0.007094504,-0.015275405,-0.010089922,-0.016387213,-0.005506227,-0.011813456,-0.007019512,-0.030487791,0.007509747,-0.018150124,-0.025270758
2019-02-26,0.003732601,0.003601464,0.017893769,0.005361916,0.00092285,-0.002097239,0.003262536,-0.015723098,0.007453958,-0.012408116,0
2019-02-27,-0.002975,-0.008832908,-0.011125796,-0.011428423,0.052550733,-0.01387138,-0.007046145,-0.025559224,-0.018691576,-0.009231322,-0.011111111
2019-02-28,-0.021206288,-0.018935907,-0.026327653,-0.025048181,-0.0116789,-0.037084339,-0.002183335,-0.016393261,-0.007936357,-0.011386903,0.029962547
2019-03-01,-0.00838319,-0.010648614,-0.01663976,0.0140317,0.001772635,-0.013501696,-0.000546967,0.033332959,0.004799841,0.048952509,-0.072727273
2019-03-07,-0.00032937,0.014064402,-0.000534905,-0.005714996,-0.031259372,-0.008301386,-0.016420378,-0.006451475,-0.044586163,0.013227102,0
2019-03-08,0.008786326,0.011887269,0.01387939,0.035098291,-0.004566237,0.0045248,0.051752921,0.012987075,0.038931144,0.020936413,-0.011764706
2019-03-11,0.029395809,0.032727428,0.040603197,0.030651211,0.007339646,0.03085575,0.019576675,0.038461383,0.040227599,0.037393893,-0.01984127
2019-03-12,-0.001586473,0.002166998,0.002898173,-0.005664627,0.017000554,0.003495768,-0.008821949,0.012345739,0.012890625,0.018604922,0.028340081
2019-03-13,0.009639788,0.010810898,0.009560137,0.015372916,0.010746307,0.02503814,0.0078535,0.036585221,0.015040465,0,0.011811024
2019-03-14,-0.003777159,-0.015775618,0.002201985,-0.00757,0.004134598,-0.006372096,-0.009870273,0.014706033,-0.012538084,-0.001598036,0.015564202
2019-03-15,0.006108499,-0.000271328,0.004174957,0.008558045,0.03529408,-0.006199294,0.002623504,-0.002898641,0.01962321,0.011433572,-0.011494253
2019-03-18,0.008897708,0.001629981,0.005251688,-0.007563164,0.028125072,0.003441653,-0.016221988,-0.011627964,-0.000377406,0.014922092,-0.03875969
2019-03-19,-0.003320181,-0.023331485,-0.021550062,-0.021375505,0.002486797,-0.00192921,0.01436177,0.005882537,-0.012835167,0.036311063,0.008064516
2019-03-20,-0.017801375,-0.022499929,-0.027140843,-0.022411991,-0.003858807,-0.012027501,-0.003670743,-0.01462003,-0.017208401,0.04148723,0
2019-03-21,-0.014202396,-0.017618578,-0.021953116,-0.020983284,-0.024073029,-0.031304324,-0.029999965,-0.005934591,-0.01556413,0.005573192,-0.04
2019-03-22,-0.029674249,-0.029505504,-0.035305062,-0.054375747,-0.009072872,-0.029174241,-0.01573543,-0.026865879,-0.046640506,-0.012931112,-0.020833333
2019-03-25,0.001108011,0.001490505,0.002181064,0.00713536,-0.000572321,0.015487832,0.02480724,0,0.009535871,0.070138159,-0.017021277
2019-03-26,0.017266254,0.010416954,0.006529711,0.023546499,0.037503657,0.003869715,0.004303429,0.027607581,0.003696076,0.104893175,-0.004329004
2019-03-27,-0.041453659,-0.033873431,-0.034598664,-0.055374443,-0.05905091,-0.045124838,-0.008569919,-0.014925209,-0.056465019,-0.018704044,0.004347826
2019-03-28,0.033144144,0.03963411,0.050771455,0.034913591,0.002639336,0.026597225,0.01566718,-0.006060794,0.036860633,-0.024343964,-0.004329004
2019-03-29,0.008679422,0.009677205,0.017053504,0.014577256,0.04913715,0.011103436,0.013297975,-0.006097751,0.011710565,0.023404016,0.017391304
2019-04-01,0.005881712,-0.007409647,0.008011157,0.009852229,0.009757632,0.020132577,0.023097004,0.009202742,-0.000413397,0.009261343,0.025641026
2019-04-02,-0.005630709,-0.015807764,-0.012835433,-0.008739957,-0.000552138,-0.013456008,-0.014879343,0,-0.005790096,0.039138423,-0.025
2019-04-03,-0.007296069,-0.008923411,-0.011239049,-0.01066214,0.017127009,-0.006137703,-0.00989586,-0.003039608,-0.000415781,0.012795102,0.017094017
2019-04-04,0.018758215,0.015006044,0.025859633,0.0120208,0.045627235,0.024473963,0.017885388,-0.003048875,0.018310232,-0.003736554,-0.029411765
2019-04-05,0.007429686,0.021584538,0.008310245,0.005734136,-0.016883109,0.02121019,0,-0.006116077,0.012260143,0.035006185,-0.008658009
2019-04-08,0.002351443,-0.006077588,0.001373751,0.001629129,0.003434784,-0.000705388,-0.001033674,-0.003077019,-0.026241653,-0.011216506,0.026200873
2019-04-09,-0.011516336,-0.005533502,-0.003840714,-0.015043722,-0.025013418,-0.012104041,-0.006725252,-0.018518446,-0.016169077,-0.001745414,-0.012765957
2019-04-10,-0.002265361,-0.001756578,-0.014321426,0.007430243,0.025925172,0.005569252,0.00260414,0.012578677,0.020227507,-0.018356474,-0.00862069
2019-04-11,-0.012001309,-0.023173817,-0.015926013,-0.00942445,-0.018162692,-0.014842665,-0.018701328,-0.006211373,-0.015282954,-0.020480897,-0.02173913
2019-04-12,-0.020463942,-0.010510939,-0.009085969,-0.033505784,-0.002144718,0.008769945,-0.019587037,-0.028124892,-0.01635908,0.003636473,0
2019-04-15,0.003351536,-0.000606418,-0.002292436,0.002782184,0.012627424,-0.00557295,0.028617744,0.038585395,-0.010660757,-0.014493189,-0.008888889
2019-04-16,0.013250217,-0.000911185,-0.001722697,0.020699847,0.000265412,0.016812495,0,-0.012383958,0.004310122,-0.003124401,-0.035874439
2019-04-17,-0.010989011,-0.015501765,-0.013809259,-0.013171545,0.00689657,-0.03064385,-0.01312346,0,-0.012875529,0.038170349,-0.013953488
2019-04-18,0.012888933,0.013584617,0.013710629,0.034957586,0,0.030702772,-0.005318975,0.006269457,-0.003043296,0.065542138,0.014150943
2019-04-22,0.000438712,-0.002741458,0.008345222,-0.01044019,0.001053769,0.015004478,0.008021187,0.009345758,0.010902568,0.060176453,0.018604651
2019-04-23,0.012829014,0.012828432,0.024257958,0.020066445,0.038157897,0.002608681,0.017506655,0,0.004745657,-0.019025252,0.00913242
2019-04-24,-0.008336094,0.001507668,-0.006686841,-0.020280086,0.005576564,-0.02103213,-0.014077172,-0.009259223,-0.014169373,0.019073452,-0.004524887
2019-04-25,0.014192184,0.015357324,0.011781087,0.016352653,0.005797908,0.01196009,0.009518937,-0.003115362,0.020906024,0.00503324,-0.013636364
2019-04-26,-0.002906405,0.002372085,-0.003049558,0.005091806,0.005764486,-0.000437506,0.011000398,0.012500062,-0.002559595,0.007824529,-0.013824885
2019-04-29,0.000971651,-0.007988349,-0.013070018,0.000405106,0.011711859,0.002846528,-0.006735764,0.033950702,0.010265055,-0.006211082,-0.018691589
2019-04-30,0.001725582,0.008947174,0.002536015,0.006279222,0.019211873,-0.017249316,0.014606088,0.011940356,0.033869696,0.013437647,-0.00952381
2019-05-02,-0.007751863,0.006654089,0.000561885,0.002214289,-0.012808033,0.006443268,-0.008226068,-0.032448454,-0.001485166,-0.018193096,0.014423077
2019-05-03,0.00477424,-0.009694722,0.010602055,0.005824293,-0.007344085,-0.009492257,-0.001555333,0.015244056,0.013141639,0.010521225,-0.033175355
2019-05-06,-0.010691113,-0.021951822,-0.026974449,-0.014177369,-0.006165264,-0.019389375,-0.020768395,-0.009008972,-0.004864275,-0.016006142,0
2019-05-07,-0.006876957,-0.011222114,-0.00628731,0.002430801,-0.004962808,-0.006817961,-0.012195319,-0.003030397,-0.010183401,-0.000473522,-0.029411765
2019-05-08,0.01242029,0.01134948,0.020707435,0.022226931,-0.006234554,0.020594634,-0.006977826,0.006078896,0.020576145,-0.013430571,-0.025252525
2019-05-09,-0.008033851,-0.012435588,-0.017469734,0.008697002,0.007277563,-0.017713019,-0.005945934,0.003021242,0.005645114,-0.019057884,-0.010362694
2019-05-10,-0.006238371,-0.004606573,-0.008890158,-0.017048881,0.04010962,-0.008445344,0.004894109,-0.003012142,-0.00200469,-0.031510709,0
2019-05-13,-0.027422962,-0.015736013,-0.024884357,-0.035685878,0,-0.023941164,-0.015151626,0.018126817,-0.023704384,-0.042480945,-0.015706806
2019-05-14,0.005095731,-0.00470235,-0.002967335,-0.009716465,-0.022994125,0.02594314,-0.001098927,-0.017804086,-0.016460877,-0.028169206,0.021276596
2019-05-15,-0.010027028,0.003149666,-0.010714213,-0.016492717,-0.019367423,-0.009884964,-0.028602791,-0.024168983,-0.029288702,0.023550598,0.005208333
2019-05-16,-0.014908444,-0.012872682,-0.011732834,-0.03120366,-0.001500092,-0.026003954,-0.006228943,-0.003096071,-0.033189552,0.044247981,-0.031088083
2019-05-17,0.002079482,0.001908501,0.007610079,-0.017309305,-0.018527714,-0.00309895,-0.009686614,0.055900396,-0.036359864,-0.020169675,0.005347594
2019-05-20,0.024095043,0.026031213,0.027190529,0.038350123,0.004591906,0.029889791,0.025891956,0.114706064,0.039831215,0.054661751,-0.010638298
2019-05-21,0.0265676,0.038676417,0.041176427,0.057118282,0.08075163,0.027629616,0.020751557,0.018469676,0.035150907,0.05297698,0.021505376
2019-05-22,-0.002522239,0.00089313,-0.01779642,9.91726E-05,0.022086418,-0.009263506,0.006593191,0.233160507,0.003918167,-0.01495332,0.078947368
2019-05-23,-0.005826726,-0.002083182,-0.004889457,0.001638547,0.010804622,-0.021892925,-0.000545528,0.155462167,0.0052039,0.019133265,-0.024390244
2019-05-24,-0.00199049,-0.014912045,-0.009826352,0.014724158,-0.006140548,-0.004429793,-0.016930697,-0.076363531,-0.016824919,0.002327528,-0.05
2019-05-27,0.013850416,0.003633162,0.014302096,0.019548504,0.011441524,0.022248263,0.013333146,0.053149393,0.019306838,0.014551495,0
2019-05-28,0.014754077,0.028054246,0.027625762,0.013046025,-0.018099467,0.017182254,0.007127207,0.014399766,0.033577358,0.045162807,-0.005263158
2019-05-29,0.002261712,0.018779446,0.019882434,-0.000975497,0.059907801,0.013288249,0.008165649,0.084112325,-0.017492941,0.016058477,0
2019-05-30,0.009671191,0.010368673,0.01839669,0.014648297,0.04369562,0.024672018,-0.004859634,0.196551626,0.00042385,-0.001580468,0.010582011
2019-05-31,-0.003937878,-0.002280849,-0.00242648,-0.001924965,-0.026661045,-0.008676814,-0.018990764,0.159942336,0.006356183,-0.03237861,0.340314136
2019-06-03,-0.001175265,0.00271591,-0.003243344,0.004628708,-0.000856004,-0.008752661,0.002212441,-0.118012376,0.012631536,-0.016954402,-0.0234375
2019-06-04,0.003423192,-0.001710893,0.005079685,0.016317986,0.000428324,0.000441448,0.020971173,0.007042235,-0.012473971,-0.031770031,-0.036
2019-06-05,-0.01236678,-0.019417364,-0.015384553,-0.027578373,-0.033397471,-0.021403395,-0.008107904,-0.05454537,-0.014736849,-0.069374909,-0.045643154
2019-06-06,0.011334229,0.010483431,0.021929647,0.025446832,0.037430838,0.008568287,0.00272489,-0.016272238,0.024795972,0.049193886,0.017391304
2019-06-07,0.005656943,0.010663012,0.000268543,-0.008145641,0.037574655,0.008271819,0.021195564,0.046616511,-0.000418355,0.016002751,-0.034188034
2019-06-10,-0.003927011,-0.012546068,-0.011799681,-0.009358352,-0.025720143,-0.019955641,-0.019159274,0,0.002092989,0.014332774,-0.017699115
2019-06-11,0.016728823,0.004909154,0.004613238,0.019857505,-0.001267237,0.00475122,0.006511032,-0.001436718,0.006683557,-0.004658097,-0.031531532
2019-06-12,-0.007964725,-0.005747347,-0.01161508,-0.008893573,-0.000845867,-0.006755247,-0.003773401,-0.021582825,-0.024066478,-0.032761288,0.088372093
2019-06-13,0.005070727,-0.017918953,-0.01093191,-0.015882022,-0.003597694,-0.013375716,0.006493415,-0.007352922,-0.034864021,-0.019354825,-0.047008547
